Name,Coordinate
TgPuteri K.Ketil Kdh,"5.607067,100.643389"
"Pandan Jaya 2, KL","3.133416,101.740055"
"Jalan Suasana, BTHO","3.049925,101.76463"
"Bukit Beruntung, Rwg","3.419118,101.556686"
"Rapat Perdana, Ipoh","4.568644,101.134936"
"Menara Olympia, KL","3.149175,101.700584"
"Teluk Cempedak, Ktn","3.81228,103.372003"
Pulai Perdana Jhr,"1.561622,103.614633"
Dtrn Sunway PJU 5/7,"3.15219,101.594497"
Sunway Medical Centre,"3.065926,101.609665"
"Taman Melodies, JB","1.49362,103.766142"
"Chandan Putri KK, Prk","4.760571,100.939854"
Solaris Dutamas D4KL,"3.171478,101.667121"
Tanming Puchong,"2.979451,101.609925"
Taman Merpati N9,"2.690701,101.964731"
"Kajang Impian, Bangi","2.976457,101.771494"
Bdr Baru Bt Gajah Pk,"4.473768,101.051004"
Tmn Bukit Belian N9,"2.831608,101.896978"
"Sentosa Villa, Kajang","2.994467,101.79414"
"Jenjarum, S. Putra","2.951666,101.582312"
BT7 Teluk Kemang PD,"2.458196,101.856186"
"Mahkota MDC Ctr, Mlk","2.187531,102.251317"
"Jln Besar, Rengit Jhr","1.680021,103.149044"
Kijing Marang K.Trg,"5.22058,103.198222"
"Court 6,Subang Jaya","3.043832,101.592982"
Tmn Prima Selayang,"3.245603,101.651089"
Taman Sri Gombak,"3.24267,101.704916"
Tmn Ehsan Jaya,"1.547578,103.813682"
"Tasek Eleven, JB","1.487153,103.723629"
"Tmn Setia Indah 2, JB","1.571256,103.774591"
"Simpang Pasir, KLTN","6.092099,102.274963"
Tanjung Gemuk PHG,"2.660222,103.620493"
"Berangan, Kluang JHR","2.040561,103.32133"
"Genuang Perdana, JHR","2.490791,102.844286"
"Jln Ketari, Bentong PHG","3.511974,101.913291"
"Fasa 2B Manjung, PRK","4.189739,100.658833"
Sky Exp Hotel KL,"3.144432,101.706174"
Thambi Dollah KL,"3.140433,101.711922"
KLFestivalCityGombak,"3.204552,101.72058"
"Tmn Sri Pelangi, Mlk","2.337028,102.209182"
"Setia Pearl, PG","5.307939,100.265339"
Bdr Baru K.Lipis PHG,"4.187516,102.060958"
"Guchil, Kltn","5.546432,102.200011"
Tmn Maju Jaya PJ,"3.080108,101.637002"
Jln Pandan Indah KL,"3.132479,101.751208"
"Tmn Desa Indah, Benut","1.650165,103.258467"
Desa Manggis N9,"2.73389,101.953272"
Prima Samundera Sel,"3.233581,101.69533"
Setia Indah S.Alam,"3.099049,101.460612"
"Tmn Mutiara, Pontian","1.494483,103.435496"
Jln Baldwin Tapah PK,"4.196943,101.263939"
Plaza Pantai KL,"3.115212,101.668186"
"Tmn Bukit Dahlia, JB","1.478862,103.894317"
Tmn Waja B. Pahat JHR,"1.866597,103.117882"
Medan Bistari Iph PK,"4.618771,101.118328"
Kg. Batu Enam K.Trg,"5.345224,103.091784"
"Glomac Damansara, KL","3.135342,101.629953"
Neo Cyber Cyberjaya,"2.915637,101.650411"
"Jln Rahmat, B.Pahat JHR","1.849102,102.928942"
"OUG Industrial Park, KL","3.0623,101.664313"
"Jalan Penjara, PHG","3.805643,103.321022"
Tmn Cahaya Masai,"1.5087,103.922636"
TSB Sg Buloh Sel,"3.208692,101.572637"
"Sentral Point, Kajang","2.977426,101.794389"
"Peringat, Kelantan","6.022836,102.285969"
Kuala Klawang N9,"2.939042,102.070152"
"Taman Adda, JB","1.547996,103.745791"
"Jln Nova Sec U5, SA","3.175961,101.548457"
Permas Jaya 4 JB,"1.504552,103.820991"
The Core Kota D'sara,"3.157804,101.570151"
"Tasik Prima, Puchong","2.98063,101.602622"
Tikam Batu Sg Petani,"5.57927,100.438227"
"Padang Midin, K.TRG","5.264049,103.099703"
Tasik Indra Ipoh PK,"4.631332,101.115208"
Trillium Sg Besi KL,"3.061279,101.710468"
"Bkt Bauk Dungun, TRG","4.714399,103.418394"
Jln Sultan Tengah KCH,"1.593917,110.330862"
Tmn Anggerik A.Setar,"6.101841,100.348863"
Tmn Sri Impian SPRAI,"5.317313,100.478151"
Inderapura Jerantut,"3.93519,102.369613"
Station 18 Ipoh PRK,"4.548463,101.070943"
Metropolitan Sq Dsra,"3.165653,101.608477"
Chembong N9,"2.597063,102.073789"
Kota Laksamana S3 MK,"2.195701,102.238048"
"Tmn Maju, Jasin, MLK","2.298334,102.418271"
Tmn Gaya U.Tiram JHR,"1.562724,103.800271"
"Jalan Jakar, Kemaman","4.221448,103.426156"
"Kuantan Garden, KTN","3.816506,103.34064"
Layang-Layang JHR,"1.807978,103.482764"
"Airport Sport, N9","2.81184,101.775946"
Tmn Nusa Bestari JHR,"1.493304,103.658001"
"Tmn Sri Tlk Emas, MLK","2.171723,102.336045"
Indera Mahkota 7 PHG,"3.834169,103.301011"
Tmn NB2 Nusajaya JHR,"1.500417,103.652044"
Caltex Pdg Midin TRG,"5.273836,103.104691"
Tmn B.I Nusajaya JHR,"1.478929,103.664852"
M-Avenue Segambut,"3.186041,101.656049"
Bercham Height PRK,"4.6317,101.131889"
"Tmn Perdana, PHG","3.81751,103.275451"
Bdr Sri Sendayan N9,"2.660081,101.878165"
Denai Alam S.Alam,"3.152688,101.514173"
Tmn Cahaya Alam SA,"3.085716,101.485946"
Indah2 Nusajaya JHR,"1.472113,103.65463"
The Strand 2 D'sara,"3.154667,101.595409"
"Plaza Damas 3, K.L","3.162774,101.656824"
Bdr Puteri Puchong,"3.026493,101.616027"
"PD Waterfront, N9","2.521945,101.802538"
Medan Sri Pekan KLG,"2.809319,101.502447"
"Taman Piandang, PRK","5.071096,100.385328"
Oasis Damansara PJ,"3.114063,101.573598"
UPAC Jln Sg Besi KL,"3.12585,101.709642"
"Taman Seraya, PD N9","2.547181,101.802623"
Seri Mahsan Bahau N9,"2.834879,102.410149"
"Tanjung Mas, Kelantan","6.133298,102.261504"
"Batu Jong, Kelantan","5.597516,102.193237"
Kuala Kurau PRK,"5.017649,100.433726"
The Shore B.Raya MLK,"2.201208,102.250826"
"Balai Kemasin, Kltn","6.104061,102.376637"
"BB Gua Musang, Kltn","4.860956,101.954359"
"Tmn Sri Bahagia, JB","1.510426,103.730767"
Jln Tok Muda PHG,"3.444452,102.424834"
Ampang Baru PK,"4.584689,101.126674"
"Kemasik, Terengganu","4.424307,103.452209"
Jln Seri Chengal PHQ,"3.459753,102.400866"
Balok Commercial KTN,"3.935508,103.368207"
Perdana Condo D'sara,"3.169464,101.605293"
Tesco Seremban Jaya,"2.681752,101.973298"
Tmn Melawati 2 KL,"3.221616,101.741665"
Tmn Semarak Gerik PK,"5.448101,101.135885"
Saujana Utama Bidara,"3.203197,101.48653"
"Taman Hiburan, KLTN","5.80644,102.147757"
"Taman Yani, Kelantan","5.539157,102.205821"
Jln Orkid PHG,"3.481993,102.349064"
Tmn Desa Harmoni JB,"1.519637,103.796658"
Dataran Kemuning N9,"2.692266,101.989579"
SOHO PJ5 Kelana Jaya,"3.105431,101.604867"
Jln Stadium AS Kdh,"6.134938,100.373467"
Tmn Emas Kahang JHR,"2.212592,103.536859"
Solaris Dutamas D2KL,"3.171556,101.665471"
Guar Chempedak Kdh,"5.852811,100.459534"
Nilai Impian N9,"2.841967,101.79746"
Taman Angsana S.P,"5.625112,100.505201"
Jinjang Selatan KL,"3.198984,101.666362"
Pekan Pagoh Muar,"2.149678,102.771861"
Jln Lambak Kluang JHR,"2.026005,103.320241"
Susur Bagan Serai PK,"5.014534,100.530782"
"Jalan Klinik, KLTN","5.835883,102.401335"
"Jalan Bayam, KLTN","6.120343,102.242031"
Sri Razak Taiping PK,"4.874373,100.74487"
SIBC Sri Iskandar PK,"4.357807,100.966847"
One City Subang Jaya,"3.021258,101.57956"
"Bakar Arang, Kedah","5.626265,100.479978"
Tunku Haminah A.Star,"6.122569,100.34863"
Tmn Pertama TPG PK,"4.853332,100.721881"
Mutiara Subang SA,"3.074371,101.560326"
Bdr Sri Botani PK,"4.53703,101.105219"
Tmn Kenanga S2 MLK,"2.21212,102.234067"
Tmn Indah Tampin N9,"2.479261,102.240902"
Seri Inderapura PHG,"3.751634,103.261847"
Binjai Kemaman TRG,"4.237583,103.394517"
Tmn Pulai Flora JHR,"1.550358,103.623736"
Lrg Koperasi Tpg PK,"4.842644,100.740168"
"Tnh Merah, Pendang KDH","6.028472,100.481619"
"Bandar Tiram, JHR","1.599196,103.823392"
"Avenue K, KL","3.159183,101.713539"
Tmn Usahaniaga BM PG,"5.362168,100.465877"
Tmn Ria Jaya BP JHR,"1.860973,103.004087"
"Tmn Sutera Utama, JB","1.515668,103.667896"
"Pantai Chenang,LGKWI","6.293861,99.725014"
"Jln Besar Gambang, PHG","3.706295,103.098660"
Jln Petanak KCH,"1.553914,110.360533"
"USJ 21, Subang Jaya","3.026519,101.582092"
"Taman Setia, Balakong","3.014488,101.752461"
Bagan Luar PG,"5.408216,100.37067"
"Bdr Permyjaya, Miri","4.451653,114.039666"
Jln. Langgar A.Setar,"6.132589,100.390344"
Tmn Gong Badak 4 TRG,"5.401647,103.071955"
"Wisma Seri Setia, KLTN","6.120044,102.247256"
Bandar Springhill N9,"2.596299,101.855857"
"Binjai Rendah, K.Trg","5.202841,103.103071"
Taman Bunga Raya N9,"2.817806,101.905347"
"Tmn Malim Jaya, MLK","2.238849,102.232863"
Taman Seri Pandan N9,"2.747339,101.971431"
"Bukit Kecil, K.TRG","5.314442,103.13692"
Tmn Bukit Dahlia 2,"1.483753,103.901173"
Alma II BM PG,"5.33005,100.47699"
"Bandar Sri Alam, JB","1.508678,103.867549"
Simpang Empat Penang,"5.334026,100.217153"
Slim River Perak,"3.840257,101.396057"
"Tmn Pertiwi, Kangar","6.416005,100.18281"
Tawas Damai Ipoh PK,"4.661054,101.111874"
"Tmn Merak Mas, MLK","2.230227,102.293283"
"Tmn Paya Rpt Prd,MLK","2.295515,102.213288"
Taman Kota Masai 2,"1.483804,103.953052"
TmnNusantaraNusajayaJHR,"1.460296,103.584204"
3rd Mile Bazaar KCH,"1.519232,110.334261"
"Jalan Long Yunus, KEL","6.125417,102.257405"
Taman Marin Muar,"2.0629,102.593162"
Alamanda Sik Kedah,"5.815314,100.740163"
Pelita Comm Miri,"4.404288,114.001018"
Bdr Laguna Merbok SP,"5.680562,100.492474"
Jln Casuarina3 Bahau,"2.808529,102.405192"
"Wakaf Mek Zainab, KLTN","6.138653,102.242192"
Jalan Pee Kang Hai,"2.504605,102.827359"
"Desa Permai, Gemas","2.579228,102.598971"
"Tendong, KLTN","6.068831,102.206341"
Jln S.badlishah ASTR,"6.119243,100.368903"
Jalil High Park,"3.022029,101.677134"
Kulim Landmark Kedah,"5.384047,100.545974"
Tmn Bkt Bendera PHG,"3.475097,102.341302"
"Wakaf Tembusu, K.TRG","5.356392,103.095191"
"Cabang 3, Kelantan","6.160849,102.277007"
Jalan Indah Puchong,"3.012365,101.603426"
"Jalan Ronggeng, JB","1.531901,103.665753"
Cheras Makmur,"3.101754,101.740815"
Solaris Dutamas A3KL,"3.170559,101.665828"
Tmn. Tg. Maheran Jitra,"6.239148,100.419462"
Chemor Mutiara Prk,"4.71731,101.114685"
Tmn Desaru Utama Jhr,"1.573272,104.213841"
Jalan Satok 2 KCH,"1.553442,110.332198"
Tmn Impiana T.Intan,"4.005068,101.024638"
Tm Bt Brdm Putra Mlk,"2.242178,102.257722"
Terminal Bas Machang Kltn,"5.763733,102.215091"
"Puncak Saujana, Kajang","3.014254,101.80511"
TM Muzaffar Shah Mlk,"2.251749,102.288892"
Jln Gemilang BM PG,"5.351374,100.438975"
Tmn Wawasan Jerantut,"3.928883,102.381656"
Sunway Kayangan SA,"3.128038,101.519463"
Bukit Siput Segamat,"2.483591,102.851667"
Teras Jaya Bworth PG,"5.433498,100.390564"
Puncak Alam Sek 10,"3.232392,101.414717"
"Jln Sulaiman, Mersing","2.432058,103.837100"
Manjung Point Perak,"4.216302,100.67094"
Genting Permai,"3.385979,101.775026"
"Reko Central 2, Kjg","2.966335,101.789274"
Tmn Pumpong A.Star,"6.153184,100.369004"
Tmn Desa Baiduri Jhr,"1.661758,103.582618"
Bandar Satelit PHG,"3.069325,103.069586"
Medan Bestari 1A PRK,"4.620119,101.116753"
Gunung Rapat IPH PRK,"4.572005,101.11446"
Penisula Park K.Sel,"3.347762,101.255855"
Damai Court Temerloh,"3.440958,102.416133"
Tmn Mesra Htn Mlntg,"3.893951,100.925691"
Tmn D'Alpinia Puchong,"2.977729,101.656212"
Putra Prima Puchong,"2.978862,101.591075"
Tmn Mutiara Indah SP,"5.641829,100.506454"
Tmn Ria Indah SP,"5.653745,100.507659"
Tmn Lbh Bujang Kedah,"5.706472,100.439707"
Central Market Annex,"3.146346,101.695815"
Bandar Enstek Nilai,"2.748291,101.764145"
NusariBiz BSS N9,"2.668465,101.875201"
Mutiara Mas Skudai,"1.515044,103.632893"
Damai Utama Puchong,"3.0333,101.665152"
Scientex Kulaijaya,"1.682271,103.517851"
Laksamana Chng Ho MK,"2.196655,102.26358"
Ctex Alor Mkudu Astr,"6.096558,100.37535"
Taman Kaya Tpg PRK,"4.812617,100.72594"
Jln Pasir Putih PRK,"4.577799,101.081686"
"I-Avenue, Penang","5.333075,100.293309"
"Perdana Heights, SP","5.671185,100.506948"
Triang Sentral PHG,"3.260703,102.43541"
Tmn Nusa Bestari JB,"1.4809,103.666767"
Taman Merak PG,"5.266491,100.471923"
Sungkai Perdana PRK,"4.010424,101.304424"
TmnSriPulaiPerdana 2,"1.566615,103.595492"
"Bandar Bachok, KLTN","6.060242,102.401673"
Bandar Bera Pahang,"3.271953,102.455562"
Desa Petaling KL,"3.083785,101.701389"
Tmn Palma Aman Kedah,"5.702255,100.519562"
Uptown Avenue S2,"2.694209,101.910741"
Dataran Satria Gemas,"2.58582,102.575075"
Taman Bestari Indah,"1.598631,103.793458"
Tmn Bkt Minyak BM PG,"5.328292,100.447389"
Pengkalan Utama PRK,"4.540955,101.062392"
Tmn GP Prima JHR,"1.478245,103.582422"
Taman Daiman Jaya,"1.718475,103.889916"
Tmn Seri Mas Langat,"3.097193,101.799123"
Tmn Larkin Idaman,"1.49481,103.753509"
Taman Subang Mewah,"3.050054,101.600836"
Jln Villa Tanjung PG,"5.427205,100.386213"
Jln Sg Udang Klang,"3.044772,101.417295"
Taman Intan 2 JHR,"2.271799,102.529089"
Kulim Avenue Kedah,"5.386459,100.571267"
Bdr Meru Jaya Iph PK,"4.670085,101.076072"
Kinta Riverfront PRK,"4.602324,101.07942"
Jln Besar Selama PRK,"5.219201,100.691672"
Bdr Br Merlimau MLK,"2.166781,102.431081"
Dato Haji Eusoff KL,"3.170206,101.696102"
Komp. Nakhoda K.Kedah,"6.093931,100.308051"
"Kiara, Semenyih","2.963208,101.837009"
"Jalan Pantai, Trg","5.831726,102.557432"
Taman Mahsuri Jitra,"6.236586,100.4227"
Bukit Rimau SA,"2.998833,101.527638"
Seksyen 22 SA,"3.068963,101.555616"
Persiaran PK Sena PG,"5.48939,100.457152"
"Jalan Undan, Perling","1.480943,103.683893"
Tmn Permai3 Sban N9,"2.707189,101.925823"
Jln Mangga P.Gudang,"1.484177,103.946269"
Aman Perdana Klang,"3.093205,101.408231"
Old Klang Road KL,"3.104882,101.677815"
Jln DT Mohd Musa Swk,"1.453604,110.458643"
"Jalan Cengal, KLTN","4.883908,101.974548"
Taman Scientex JB,"1.512746,103.915327"
Kempadang Aman PHG,"3.734783,103.304162"
Jalan Padi Emas JB,"1.498969,103.710259"
Pelita Utama Miri,"4.406138,114.000299"
1 Petaling Sg Besi,"3.0682,101.705595"
Presint 11 Putrajaya,"2.963356,101.667188"
Kch City Mall KCH,"1.49514,110.302131"
Pekan K.Nerang Kedah,"6.256842,100.611135"
Kompleks Sukan Ipoh,"4.60769,101.098428"
Jalan Mohagani Klang,"2.99638,101.44585"
Viva Homes Mall,"3.123044,101.718501"
Tmn Musa Asas Arau,"6.43559,100.300171"
Mutiara Barat Cheras,"3.090428,101.739962"
Centro Mall Klang,"3.051372,101.462852"
Medan Niaga K.Sel,"3.320592,101.270755"
Jln Simpang 3 KCH,"1.534274,110.356963"
Perda Utama BM PG,"5.367336,100.428568"
Cempaka2 Nilai N9,"2.801727,101.764689"
Taman Melawati,"3.21253,101.754556"
Changkat Jong T.Intan,"4.011372,101.033334"
"Taman Bukit Mutiara, JB","1.542451,103.743116"
Waterfront Sg/Spt PRK,"4.83302,101.080283"
Brinchang Cameron PK,"4.493895,101.388649"
IOI Putrajaya,"2.970567,101.712198"
Sg Wang 2,"3.144997,101.711525"
Suria KLCC,"3.157276,101.711565"
Bandar Bkt Raja KLG,"3.090069,101.432414"
Bdr Baru Spg 4 MLK,"2.442307,102.184503"
Astana View Kuantan,"3.829075,103.271281"
"Sri Hartamas 8, KL","3.157619,101.65058"
Jln Idris Kampar PK,"4.309928,101.15277"
Mahkota Residence 1,"3.050949,101.781802"
"Wakaf Tapai, K.TRG","5.133991,103.086023"
"Bdr Seri Putra, KJG","2.887315,101.779838"
Tmn Bunga Raya,"2.806126,101.715873"
"Kebun Teh, JB","1.487595,103.754958"
Caltex Puchong,"3.008415,101.598902"
Jalan 1/1 Semarak 2,"2.814768,101.810898"
"Terengganu Road, PG","5.403279,100.308719"
"Taman Sri Mahang, KLTN","5.920684,102.243759"
"Simpang Durian, N9","3.096815,102.219283"
DK Senza,"3.059783,101.616594"
Tmn Merbau Indah PG,"5.4495,100.433171"
Jln Besar A.Tawar PK,"4.300874,100.757415"
"Tm Py Rpt Utama, MLK","2.280681,102.215622"
Tmn Mrdka Permai MLK,"2.248616,102.24003"
Nation Horizon KCH,"1.554844,110.362875"
Jln Besar Kemayan,"3.13562,102.369833"
Jln Raja Sulong PRK,"4.846891,100.732006"
Saujana Puchong,"2.9894,101.638733"
Jln MK Raya 23 MLK,"2.184371,102.262314"
Jln Taiping KK PRK,"4.770503,100.938156"
"Summerton Avenue,PG","5.339074,100.308754"
Caltex Semenyih,"2.990927,101.800218"
PelangiSemenyih2,"2.915732,101.863663"
"UITM,Seremban3, N9","2.672624,101.933363"
Jalan Rock KCH,"1.524752,110.342544"
Bandar Dato Onn,"1.557182,103.737781"
"Kg.Melayu,Ampang","3.157289,101.757587"
BandarIndahPura,"1.641472,103.618632"
Jalan Serampang,"1.483898,103.767074"
"Mdn Rampai Niaga, KL","3.197035,101.727755"
"Austin Waterpark,JB","1.56177,103.776459"
Kubang Kurus Kemaman,"4.224289,103.419848"
Jalan Sekama,"1.548039,110.366941"
Jalan Padungan KCH,"1.556506,110.354278"
Taman Semasa Pasir Mas KLTN,"6.005615,102.095797"
Setia Tropika 3,"1.547082,103.716061"
Tmn Sg Isap Jaya KTN,"3.781053,103.276101"
Taman Seri Orkid 2,"1.507504,103.6388"
MMU Cyberjaya,"2.927606,101.642509"
Jln Hang Jebat MLK,"2.197617,102.24551"
Gambang Damai KTN,"3.701936,103.047174"
Bintulu Sentral Btu,"3.202072,113.060386"
"Lebuh Light, Penang","5.4202,100.341474"
Tmn Muhibbah Ipoh PK,"4.63273,101.08667"
KLIA 2 Gateway,"2.744352,101.685119"
Platinum Sentral,"3.13584,101.688117"
Jln Datuk Wee KC KCH,"1.552584,110.366305"
Pusat Bandar Senawang,"2.70687,101.992497"
Jalan Salleh Muar,"2.061659,102.575419"
7th Mile Bazaar KCH,"1.469668,110.329629"
KDU University SA,"3.092592,101.559259"
Caltex Serendah SEL,"3.370616,101.610304"
Tmn Rambai Jaya MLK,"2.264104,102.184307"
"Wisma Sri Galas, KLTN","4.86341,101.960329"
Jalan Tun Habab,"1.732041,103.899497"
"Taman Putra, JB","1.504991,103.760255"
"Jalan Padi 1, JB","1.489528,103.712415"
Bomba Mantin N9,"2.827271,101.881186"
"Maritime, Penang","5.397805,100.329501"
Desa Senadin P3 Miri,"4.499853,114.022036"
"Taman Daya, Kepong","3.223571,101.637724"
Bazaar 8 Putrajaya,"2.932629,101.680918"
Centrio Avenue S2,"2.692823,101.905653"
Wisma B. Bintang GT,"3.144932,101.708752"
"Jalan Harmonium, JB","1.554289,103.79058"
Cempaka Fiesta Axis,"3.136536,101.746941"
P.Dagangan Triang,"3.245983,102.414932"
Parklane,"3.067638,101.658656"
Presint 15 Putrajaya,"2.937526,101.714864"
Tmn Boulevard Iph PK,"4.619699,101.129813"
Tmn Pandan Damai KTN,"3.770318,103.23098"
Taman Daya 2,"1.555168,103.754497"
"Plaza Suria, Damai","3.194804,101.585062"
"Mount Austin 3,JB","1.564813,103.77795"
Laman Areca BBN,"2.812778,101.757364"
Swiss Garden Kuantan,"3.901944,103.364359"
Tmn Wira Mas MLK,"2.451089,102.069887"
"Jelawat, KLTN","6.010366,102.371096"
Bandar Riyal SMR,"1.455006,110.410487"
Oriental Straits MLK,"2.208097,102.213538"
Jalan Maju BM PG,"5.352055,100.471111"
"Tmn Damai Perdana, KLTN","6.087837,102.238834"
"Golden Triangle,PG","5.331308,100.276417"
"Bukit Bunga, KLTN","5.828212,101.897713"
Kenanga Wholesale GT,"3.136196,101.708049"
Setia Gemilang,"3.125982,101.471945"
Caltex Nbg Tebal PG,"5.181201,100.484905"
Hatten Square MLK,"2.188633,102.252342"
"Desa Cemerlang 2, JB","1.554219,103.816418"
Lurah Semantan PHG,"3.450029,102.421946"
Sitiawan Sentral PRK,"4.214307,100.690698"
Medan Remis PD N9,"2.478553,101.852456"
Lutong Comm Miri,"4.471792,114.009311"
Jln Sg Puloh K Utama,"3.079106,101.420484"
Teluk Ketapang K. TRG,"5.373649,103.108666"
Nusantara2,"1.456999,103.580003"
Bandar Bukit Puchong,"2.986745,101.621226"
Taman Peserai Indah,"1.852022,102.888411"
Tmn Coral Height N9,"2.752582,101.955051"
Height Drive KCH,"1.505906,110.374593"
Tmn Timberland KCH,"1.521149,110.337861"
Tmn Indah Sekinchan,"3.502999,101.103967"
Caltex Tmn Putri,"1.650285,103.578726"
Saberkas Comm. Miri,"4.419307,114.016282"
Saujana Rawang,"3.334883,101.518253"
Jln Bakawali,"2.035913,103.322959"
Tmn Mengkibol Kluang,"1.999256,103.323847"
"Jade Hills, Kajang","2.994385,101.759274"
"Taman Gaya 2,JB","1.568845,103.803817"
"Caltex Larkin , JB","1.500447,103.746665"
Petaling Garden,"3.085714,101.658774"
"Taman Daya 3, JB","1.560273,103.758606"
"Island Glades,PG","5.382405,100.304041"
"Putra Mahkota,SEL","2.996364,101.573823"
"Caltex Setiu, TRG","5.529755,102.737446"
Wkaf Tgh B Rakit TRG,"5.423773,103.060513"
Sungai Rengit,"1.350147,104.221523"
Puteri Wangsa 2,"1.590651,103.80684"
Tmn Nusa Indah,"1.476564,103.640511"
Taman Seri Intan,"3.13877,101.783851"
SenaiIndustrial Area,"1.635923,103.663082"
Kota Padawan KCH,"1.426246,110.325284"
Gohtong Jaya,"3.396874,101.769375"
D'Majestic GT KL,"3.136494,101.711764"
Jalan Junid,"2.029554,102.557555"
"Desa Permata,PG","5.393177,100.276468"
Auto City Juru PG,"5.338128,100.429078"
Jln Hj Taha KCH,"1.554391,110.338443"
"Batu 7,Jln Paka, TRG","4.711485,103.401845"
Caltex Denai Alam SA,"3.159253,101.513194"
Jln Bendahara MLK,"2.198668,102.252089"
Jalan Aji,"2.510203,102.81468"
Residensi Amara,"3.241918,101.680071"
"Salor,KLTN","6.034394,102.153322"
Jln Ban Hock KCH,"1.553257,110.354236"
Pulai Jaya Ipoh PRK,"4.521658,101.125454"
Jln Canna KCH,"1.5137404,110.387299"
Jln Bunga Raya MLK,"2.199477,102.251204"
"Jln SP 1/8,Jenjarum","2.940582,101.586813"
Kerian Strl Mall PRK,"5.127614,100.482781"
"Tmn. Bukit Chedang 2,N9","2.693946,101.923044"
Jalan Pasar TPG PRK,"4.854008,100.742904"
Kidurong Ind Btu,"3.261946,113.093999"
"Dataran Larkin,JB","1.497106,103.742075"
Tmn Sri Jaromas,"2.875092,101.502332"
Tmn Boon Bak Ipoh PK,"4.561805,101.077065"
Taman Putera Indah,"2.070743,102.578136"
Panchang Sungai Besar,"3.674457,100.982069"
Raja Uda 2 Bworth PG,"5.431426,100.384355"
Bandar Laguna 2 SP,"5.681018,100.493746"
Caltex Kubang Kurus,"4.229784,103.419955"
Caltex J.Dulang Yan,"5.832252,100.386157"
Ctx T. Emas Suria SP,"5.63438,100.467162"
Tmn Molek 3,"1.530364,103.792246"
"Taman Woon,Tampin","2.476729,102.217931"
Taiping Mall Tpg PRK,"4.850328,100.742829"
Cltx Cinta Sayang SP,"5.652322,100.506966"
Aman Central A. Setar,"6.1248416,100.366019"
Jln Temenggung 2 PRK,"5.117246,100.486582"
"Bukit Sireh,KLTN","5.611608,102.192547"
Tmn Seri Mewah Meru,"3.141271,101.438959"
Metrocity Mtg KCH,"1.568979,110.306758"
Jasin Bestari MK,"2.277384,102.392989"
Taman Sembrong,"2.010123,103.068211"
Vivacity Megamall KC,"1.526951,110.370911"
Kompleks M.Tanah MK,"2.352564,102.111008"
"Taman Mesra, Cheras","3.01465,101.777735"
Pusat Kom. Swan KCH,"1.576127,110.30388"
Sarawak House SBW,"2.289546,111.830000"
Caltex Labok,"5.845031,102.225825"
Jln Besar Pangkor PK,"4.212394,100.575062"
Caltex Chndering TRG,"5.266043,103.177755"
Tmn Rasi Jaya PRK,"4.573136,101.036083"
"Alam Budiman, Shah Alam","3.144501,101.481512"
Greentown Nova PRK,"4.601311,101.093271"
"Taman Bukit Indah, JHR","1.468939,103.650542"
"TTDI Grove, Kajang","2.997746,101.812266"
"Tmn Nusa Puncak,JHR","1.44253,103.598593"
Taman Melur,"2.565536,102.722793"
Bdr Seri Alam Masai,"1.504731,103.873463"
Pulau Serai Dgun TRG,"4.785626,103.396298"
Sg Baru Ilir Jaya MK,"2.367191,102.051828"
Taman Murni Sepang,"2.685396,101.749945"
BB Tunjung KLTN,"6.070341,102.238115"
Bdr Br Semariang KCH,"1.635461,110.341852"
Dengkil Centre Point,"2.870481,101.671321"
Jln Temple KCH,"1.556589,110.34841"
Jln Sultan Jalil PK,"4.597303,101.087107"
Pekan Tunjang Jitra,"6.287983,100.373787"
Jln Sanyan SBW,"2.2913286,111.8260977"
Parkcity Mall BTU,"3.180059,113.037367"
Sg Wang 3 KL GT,"3.145093,101.711093"
Vertical Bangsar,"3.110434,101.665439"
S.U.K. KLTN,"6.109936,102.241425"
Tmn Guar G.Chempedak,"5.859594,100.454835"
Shaftbury Square,"2.923382,101.660957"
Tmn Kg Padang Jaya,"3.85765,103.255445"
Taman Geliga Intan,"4.191842,103.43378"
"Jalan Bandar, K.Trg","5.334763,103.134137"
Seri Gembira Avenue,"3.079891,101.68664"
Changkat Bkt Bntg 2,"3.146772,101.709629"
KH Tour KL GT,"3.153219,101.70564"
Tmn Mutiara Pgkr PK,"4.21211,100.562743"
Tmn Mutiara Tg Sepat,"2.659809,101.565165"
Setia Murni,"3.110062,101.447714"
Jln CM Yusuf Ipoh PK,"4.591328,101.082633"
Tmn Tg. Jaya MLK,"2.236212,102.161879"
"Cherang Ruku, KLTN","5.862878,102.487287"
Jalan Pasar TG Sepat,"2.662555,101.55659"
Taman Kasih,"1.8303767,103.3084264"
"Cabang Tiga, K.TRG","5.314678,103.122925"
Caltex Ayer Tawar PK,"4.289919,100.750473"
Caltex Yong Peng,"2.011319,103.063602"
Caltex Jalan Mersing,"2.037974,103.334117"
Jln Tun Fatimah MLK,"2.234142,102.249181"
Taman Seraya,"3.115367,101.761921"
Tmn Perpaduan Iph PK,"4.6367027,101.1541834"
Centrio Avenue,"5.3729944,100.2996182"
"Pekan Salak, Sepang","2.782815,101.750763"
"UTC Kuching, Sarawak","1.556399,110.352267"
CaltexMalim Jaya MK,"2.238892,102.234166"
"De Centrum,T.Unipark","2.979711,101.738824"
"Alam Idaman Apmnt, SA","3.066906,101.554586"
